City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,77.0,61,20,10.29,TO,1595292455
1,punta arenas,-53.15,-70.92,30.2,92,8,6.93,CL,1595292251
2,souillac,-20.52,57.52,68.0,68,75,11.41,MU,1595292473
3,atuona,-9.8,-139.03,80.24,80,94,18.07,PF,1595292458
4,lesozavodsk,45.48,133.42,71.98,77,100,6.44,RU,1595292918
5,bluff,-46.6,168.33,50.9,77,100,12.73,NZ,1595292457
6,vila velha,-20.33,-40.29,75.0,94,40,3.36,BR,1595292510
7,port elizabeth,-33.92,25.57,55.4,100,75,1.12,ZA,1595292478
8,ketchikan,55.34,-131.65,59.0,100,90,8.05,US,1595292919
9,new norfolk,-42.78,147.06,54.0,77,90,1.99,AU,1595292919
10,aykhal,66.0,111.5,51.8,93,90,8.95,RU,1595292919
11,nanortalik,60.14,-45.24,47.3,68,39,2.26,GL,1595292919
12,levelland,33.59,-102.38,93.2,26,40,13.87,US,1595292920
13,chokurdakh,70.63,147.92,80.01,36,43,15.99,RU,1595292920
14,amuntai,-2.42,115.25,82.63,71,3,2.15,ID,1595292722
15,busselton,-33.65,115.33,50.0,75,30,4.0,AU,1595292920
16,mansa,29.98,75.38,75.04,84,100,11.56,IN,1595292920
17,ushuaia,-54.8,-68.3,28.4,92,0,3.36,AR,1595292921
18,hovd,48.01,91.64,72.82,41,100,1.7,MN,1595292764
19,vila,42.03,-8.16,73.99,82,1,2.24,PT,1595292921
20,omsukchan,62.53,155.8,68.63,39,0,5.88,RU,1595292921
21,margate,51.38,1.39,55.99,72,0,2.59,GB,1595292758
22,tabas,33.6,56.92,91.4,17,0,6.93,IR,1595292921
23,yellowknife,62.46,-114.35,71.6,53,20,11.41,CA,1595292922
24,san quintin,30.48,-115.95,72.46,60,0,17.69,MX,1595292922
25,dunedin,-45.87,170.5,55.67,56,0,8.48,NZ,1595292922
26,bambous virieux,-20.34,57.76,69.01,68,75,11.41,MU,1595292904
27,bethel,41.37,-73.41,82.4,58,1,5.82,US,1595292748
28,vila franca do campo,37.72,-25.43,66.2,77,20,6.93,PT,1595292740
29,saint george,37.1,-113.58,102.2,11,1,5.82,US,1595292758
30,kavieng,-2.57,150.8,85.23,69,1,9.17,PG,1595292923
31,oksfjord,70.24,22.35,55.4,93,100,4.7,NO,1595292923
32,kaeo,-35.1,173.78,60.01,3,84,7.0,NZ,1595292923
33,mataura,-46.19,168.86,51.19,75,100,5.3,NZ,1595292923
34,mahebourg,-20.41,57.7,68.0,68,75,11.41,MU,1595292923
35,komsomolskiy,40.43,71.72,73.4,40,0,9.17,UZ,1595292923
36,milot,19.62,-72.22,78.85,82,75,7.87,HT,1595292924
37,san cristobal,7.77,-72.22,66.94,91,100,4.65,VE,1595292924
38,banda aceh,5.56,95.32,81.32,76,100,3.49,ID,1595292924
39,nikolskoye,59.7,30.79,64.0,82,97,4.47,RU,1595292924
40,tansen,27.87,83.55,64.54,100,100,1.28,NP,1595292924
41,ostrovnoy,68.05,39.51,61.21,62,0,8.32,RU,1595292925
42,chuy,-33.7,-53.46,67.06,86,74,8.55,UY,1595292925
43,rikitea,-23.12,-134.97,67.55,66,56,15.64,PF,1595292925
44,hilo,19.73,-155.09,84.2,62,90,10.29,US,1595292777
45,pierre,44.37,-100.35,75.0,73,1,5.82,US,1595292743
46,ngaoundere,7.32,13.58,63.36,92,100,0.56,CM,1595292925
47,qaanaaq,77.48,-69.36,47.93,71,94,1.43,GL,1595292926
48,odienne,9.51,-7.57,71.28,95,72,4.07,CI,1595292926
49,batagay,67.63,134.63,85.75,45,71,6.11,RU,1595292926
50,acapulco,16.86,-99.89,86.0,79,90,8.05,MX,1595292722
51,albany,42.6,-73.97,82.0,75,0,5.99,US,1595292926
52,bombay,19.01,72.85,82.4,88,75,4.7,IN,1595292926
53,victoria,22.29,114.16,88.0,66,56,5.99,HK,1595292894
54,katsuura,35.13,140.3,79.0,94,75,2.24,JP,1595292927
55,cape town,-33.93,18.42,48.2,93,0,1.12,ZA,1595292927
56,honjo,36.23,139.18,80.01,90,100,1.01,JP,1595292927
57,mount isa,-20.73,139.5,68.0,24,83,10.29,AU,1595292754
58,kapaa,22.08,-159.32,84.2,62,40,13.87,US,1595292927
59,leshukonskoye,64.9,45.76,56.62,79,0,4.72,RU,1595292928
60,pak phanang,8.35,100.2,78.8,94,20,2.24,TH,1595292928
61,airai,-8.93,125.41,67.57,56,100,3.76,TL,1595292928
62,oranjemund,-28.55,16.43,61.88,39,0,2.01,NA,1595292908
63,namatanai,-3.67,152.43,85.91,66,5,4.16,PG,1595292654
64,mehamn,71.04,27.85,56.12,89,100,7.25,NO,1595292749
65,chase,50.82,-119.69,87.8,25,20,2.73,CA,1595292929
66,juba,4.85,31.58,67.55,95,25,1.72,SS,1595292913
